dm_sed reference,sgp_reference_id,sgp ref_short,sgp ref_long,sgp doi,sgp reference url,Added new samplenames?,Added new sitename?,Updated lithology?,notes
"Gao, Ping, Guangdi Liu, Chengzao Jia, Allison Young, Zecheng Wang, Tongshan Wang, Pengwei Zhang, and Dapeng Wang. ""Redox Variations and Organic Matter Accumulation on the Yangtze Carbonate Platform During Late Ediacaran–Early Cambrian: Constraints from Petrology and Geochemistry."" Palaeogeography, Palaeoclimatology, Palaeoecology 450 (2016): 91-110. https://doi.org/10.1016/j.palaeo.2016.02.058.",713,Gao et al. 2016,"Gao, P., Liu, G., Jia, C., Young, A., Wang, Z., Wang, T., Zhang, P. & Wang, D. (2016). Redox variations and organic matter accumulation on the Yangtze carbonate platform during Late Ediacaran–Early Cambrian: Constraints from petrology and geochemistry. Palaeogeography, Palaeoclimatology, Palaeoecology, 450, 91-110. https://doi.org/10.1016/j.palaeo.2016.02.058",10.1016/j.palaeo.2016.02.058,https://linkinghub.elsevier.com/retrieve/pii/S0031018216001607,,,,
"GAO Lianfeng, ZHOU Wei, ZHANG Ying, et al. Geochemical characteristics of marine strata and the evolution of paleoceanographic environment from Late Jurassic to Early Cretaceous in Gonggar, Southern Tibet. Earth Science Frontiers, 2017, 24(1): 195-204",751,Gao et al. 2017,"Gao, L., Zhou, W., Zhang, Y., Leng, C., Zhang, Z., Jiming, Y., Cui, Y. & Wan, X. (2017). Geochemical characteristics of marine strata and the evolution of paleoceanographic environment from Late Jurassic to Early Cretaceous in Gonggar, Southern Tibet. Earth Science Frontiers, 24, 195-204. https://doi.org/10.13745/j.esf.2017.01.012",10.13745/j.esf.2017.01.012,,,,,
"Genger, D., Sethi, P., 1998. A geochemical and sedimentological investigation of high-resolution environmental changes within the Late Pennsylvanian (Missourian) Eudora core black shale of the Mid-Continent region, U.S.A. in Schieber, J., Zimmerle, W., Sethi, P.S., eds. Shales and Mudstone I and II E. Schweizerbart’sche Verlagsbuchhandlung, Stuttgart p. 271-293.",799,"Genger & Sethi, 1998","Genger, D. & Sethi, P.S. (1998). A geochemical and sedimentological investigation of high-resolution environmental changes within the Late Pennsylvanian (Missourian) Eudora core black shale of the Mid-Continent region, U.S.A.. In: Schieber, J., Zimmerle, W. & Sethi, P.S. (Eds.), Shales and Mudstones I and II (pp. 271-293). E. Schweizerbart’sche Verlagsbuchhandlung.",,,,TRUE,,Added sitename as region (note - v. broad) - did not have access to table
"Georgiev, Svetoslav, Holly J. Stein, Judith L. Hannah, Hermann M. Weiss, Bernard Bingen, Guangping Xu, Elin Rein, et al. ""Chemical Signals for Oxidative Weathering Predict Re–Os Isochroneity in Black Shales, East Greenland."" Chemical Geology 324-325 (2012): 108-21. https://doi.org/10.1016/j.chemgeo.2012.01.003.",676,Georgiev et al. 2012,"Georgiev, S.V., Stein, H.J., Hannah, J.L., Weiss, H.M., Bingen, B., Xu, G., Rein, E., Hatlø, V., Løseth, H., Nali, M. & Piasecki, S. (2012). Chemical signals for oxidative weathering predict Re–Os isochroneity in black shales, East Greenland. Chemical Geology, 324-325, 108-121. https://doi.org/10.1016/j.chemgeo.2012.01.003",10.1016/j.chemgeo.2012.01.003,https://linkinghub.elsevier.com/retrieve/pii/S0009254112000125,,,,"Added depth to two ""N/A"" samples, which are different samples with the same name."
"Georgiev, Svetoslav V., Holly J. Stein, Judith L. Hannah, Charles M. Henderson, and Thomas J. Algeo. ""Enhanced Recycling of Organic Matter and Os-Isotopic Evidence for Multiple Magmatic or Meteoritic Inputs to the Late Permian Panthalassic Ocean, Opal Creek, Canada."" Geochimica et Cosmochimica Acta 150 (2015): 192-210. https://doi.org/10.1016/j.gca.2014.11.019.",692,Georgiev et al. 2015,"Georgiev, S.V., Stein, H.J., Hannah, J.L., Henderson, C.M. & Algeo, T.J. (2015). Enhanced recycling of organic matter and Os-isotopic evidence for multiple magmatic or meteoritic inputs to the Late Permian Panthalassic Ocean, Opal Creek, Canada. Geochimica et Cosmochimica Acta, 150, 192-210. https://doi.org/10.1016/j.gca.2014.11.019",10.1016/j.gca.2014.11.019,https://linkinghub.elsevier.com/retrieve/pii/S0016703714006899,,,,
"Goren, O. (2015). Distribution and mineralogical residence of trace elements in the Israeli carbonate oil shales. Fuel, 143(C), 118–130.https://doi.org/10.1016/j.fuel.2014.11.024",689,"Goren, 2015","Goren, O. (2015). Distribution and mineralogical residence of trace elements in the Israeli carbonate oil shales. Fuel, 143, 118-130. https://doi.org/10.1016/j.fuel.2014.11.024",10.1016/j.fuel.2014.11.024,https://linkinghub.elsevier.com/retrieve/pii/S0016236114011181,TRUE,,TRUE,Added samplename from table. Updated lith carbonate oil shale
"Grasby, Stephen E., Benoit Beauchamp, and Jochen Knies. ""Early Triassic Productivity Crises Delayed Recovery from World’s Worst Mass Extinction."" Geology Vol.44, no. No.9 (2016): 779-82. https://doi.org/10.1130/abs/2016am-279493.",748,Grasby et al. 2016,"Grasby, S.E., Beauchamp, B. & Knies, J. (2016). Early Triassic productivity crises delayed recovery from world’s worst mass extinction. Geology, 44, 779-782. https://doi.org/10.1130/G38141.1",10.1130/G38141.1,https://pubs.geoscienceworld.org/geology/article/44/9/779/195282/Early-Triassic-productivity-crises-delayed,,,,
"Hakimi, Mohammed Hail, Wan Hasiah Abdullah, Mohammad Alqudah, Yousif M. Makeen, and Khairul Azlan Mustapha. ""Reducing Marine and Warm Climate Conditions During the Late Cretaceous, and Their Influence on Organic Matter Enrichment in the Oil Shale Deposits of North Jordan."" International Journal of Coal Geology 165 (2016): 173-89. https://doi.org/10.1016/j.coal.2016.08.015.",684,Hakimi et al. 2016,"Hakimi, M.H., Abdullah, W.H., Alqudah, M., Makeen, Y.M. & Mustapha, K.A. (2016). Reducing marine and warm climate conditions during the Late Cretaceous, and their influence on organic matter enrichment in the oil shale deposits of North Jordan. International Journal of Coal Geology, 165, 173-189. https://doi.org/10.1016/j.coal.2016.08.015",10.1016/j.coal.2016.08.015,https://linkinghub.elsevier.com/retrieve/pii/S0166516216302099,,,,
"Hakimi, Mohammed Hail, Wan Hasiah Abdullah, Yousif M. Makeen, Shadi A. Saeed, Hitham Al-Hakame, Tareq Al-Moliki, Kholah Qaid Al-Sharabi, and Baleid Ali Hatem. ""Geochemical Characterization of the Jurassic Amran Deposits from Sharab Area (Sw Yemen): Origin of Organic Matter, Paleoenvironmental and Paleoclimate Conditions During Deposition."" Journal of African Earth Sciences 129 (2017): 579-95. https://doi.org/10.1016/j.jafrearsci.2017.01.009.",697,Hakimi et al. 2017,"Hakimi, M.H., Abdullah, W.H., Makeen, Y.M., Saeed, S.A., Al-Hakame, H., Al-Moliki, T., Al-Sharabi, K.Q. & Hatem, B.A. (2017). Geochemical characterization of the Jurassic Amran deposits from Sharab area (SW Yemen): Origin of organic matter, paleoenvironmental and paleoclimate conditions during deposition. Journal of African Earth Sciences, 129, 579-595. https://doi.org/10.1016/j.jafrearsci.2017.01.009",10.1016/j.jafrearsci.2017.01.009,https://linkinghub.elsevier.com/retrieve/pii/S1464343X17300109,,,,
"Hatch, J. R., & Leventhal, J. S. (1992). Relationship between inferred redox potential of the depositional environment and geochemistry of the Upper Pennsylvanian (Missourian) Stark Shale Member of the Dennis Limestone, Wabaunsee County, Kansas, U.S.A. Chemical Geology, 99, 65–82.https://doi.org/10.1016/0009-2541(92)90031-y",666,"Hatch & Leventhal, 1992","Hatch, J.R. & Leventhal, J.S. (1992). Relationship between inferred redox potential of the depositional environment and geochemistry of the Upper Pennsylvanian (Missourian) Stark Shale Member of the Dennis Limestone, Wabaunsee County, Kansas, U.S.A.. Chemical Geology, 99, 65-82. https://doi.org/10.1016/0009-2541(92)90031-Y",10.1016/0009-2541(92)90031-Y,https://linkinghub.elsevier.com/retrieve/pii/000925419290031Y,,,,
"Hatch, J. R., & Leventhal, J. S. (1997). Early diagenetic partial oxidation of organic matter and sulfides in the Middle Pennsylvanian (Desmoinesian) Excello Shale Member of the Fort Scott Limestone and equivalents, northern Midcontinent region, USA. Chemical Geology, 134, 215–235.https://doi.org/10.1016/s0009-2541(96)00006-x",725,"Hatch & Leventhal, 1997","Hatch, J.R. & Leventhal, J.S. (1997). Early diagenetic partial oxidation of organic matter and sulfides in the Middle Pennsylvanian (Desmoinesian) Excello Shale member of the Fort Scott Limestone and equivalents, northern Midcontinent region, USA. Chemical Geology, 134, 215-235. https://doi.org/10.1016/S0009-2541(96)00006-X",10.1016/S0009-2541(96)00006-X,https://linkinghub.elsevier.com/retrieve/pii/S000925419600006X,,TRUE,,"Used TRS from table for sitenames, took asterisks off the sample names in case they cause issues."
"Hirst, D.M., 1974. Geochemistry of sediments from eleven Black Sea cores. In: Degens, E.T., Ross, D.A. (Eds.), The Black Sea—Geology, Chemistry, and Biology. American Association of Petroleum Geologists Memoirs vol. 20, pp. 430–455.https://doi.org/10.1306/bf9ab363-0eb6-11d7-8643000102c1865d",797,"Hirst, 1974","Hirst, D.M. (1974). Geochemistry of Sediments from Eleven Black Sea Cores. In: Degens, E.T. & Ross, D.A. (Eds.), The Black Sea--Geology, Chemistry, and Biology (pp. 430-455). American Association of Petroleum Geologists. https://doi.org/10.1306/M20377C10",10.1306/M20377C10,https://pubs.geoscienceworld.org/books/book/1476/chapter/107176568,TRUE,,,Added samplename as sitename + height
"Hu, Junjie, Qi Li, Juan Li, Jing Huang, and Dongsheng Ge. ""Geochemical Characteristics and Depositional Environment of the Middle Permian Mudstones from Central Qiangtang Basin, Northern Tibet."" Geological Journal 51, no. 4 (2015): 560-71. https://doi.org/10.1002/gj.2653.",660,Hu et al. 2016,"Hu, J., Li, Q., Li, J., Huang, J. & Ge, D. (2016). Geochemical characteristics and depositional environment of the Middle Permian mudstones from central Qiangtang Basin, northern Tibet. Geological Journal, 51, 560-571. https://doi.org/10.1002/gj.2653",10.1002/gj.2653,https://onlinelibrary.wiley.com/doi/10.1002/gj.2653,,,,
"Huang, J., Chu, X., Lyons, T. W., Planavsky, N. J., & Wen, H. (2013). A new look at saponite formation and its implications for early animal records in the Ediacaran of South China. Geobiology, 11(1), 3–14.https://doi.org/10.1111/gbi.12018",736,Huang et al. 2013,"Huang, J., Chu, X., Lyons, T.W., Planavsky, N.J. & Wen, H. (2013). A new look at saponite formation and its implications for early animal records in the Ediacaran of South China. Geobiology, 11, 3-14. https://doi.org/10.1111/gbi.12018",10.1111/gbi.12018,https://onlinelibrary.wiley.com/doi/10.1111/gbi.12018,,,,"May have some overlap with Och 2016, but if so it is for a small number of samples. Added new. JLW13, JLW20, JLW44."
"Jaminski, J. M. (1997). Geochemical and petrographic patterns of cyclicity in the Devonian-Mississippian black shales of the central Appalachian Basin.https://doi.org/10.1016/j.chemgeo.2003.12.029",789,"Jaminski, 1997","Jaminski, J. (1997). Geochemical and petrographic patterns of cyclicity in the Devonian-Mississippian black shales of the central Appalachian Basin. [Doctoral thesis, University of Cincinnati]",,,TRUE,,,Added samplename as sitename + height (did not have access to original table)
"Karma, R. (1991). Geology and Geochemistry of the Bakken Formation (Devonian-Mississippian) in Saskatchewan. Masters Thesis. University of Regina, p. 308",760,"Karma, 1991","Karma, R. (1991). Geology and Geochemistry of the Bakken Formation (Devonian-Mississippian) in Saskatchewan. [Master's thesis, University of Regina] https://pubsaskdev.blob.core.windows.net/pubsask-prod/88032/88032-Karma-Parslow_1989_MiscRep89-4.pdf",,https://pubsaskdev.blob.core.windows.net/pubsask-prod/88032/88032-Karma-Parslow_1989_MiscRep89-4.pdf,,TRUE,,"Updated so that verbatim formation had Upper Middle Lower as described in the table (only the Middle ones were specified), Changed the latitude on one sample (id_new 20405), longitude on (20061 20526 20587) which had the same sitename, same longitude etc. as others. Updated lat-long for new_id 20252/dm_sed_id 20724 to match the samples that appear to be from the same section. (modlon was the same, modlat and paleo coords were different). Update paleo lat-long, and the samplename (419 to 439) for 20441/20913, which did not match samples with the same modlat and modlon, and didn't fit in the sequence (looks like it probably was mis-translated from the PDF which is blurry at that point)."
"Klein, C., & Beukes, N. J. (1993). Sedimentology and geochemistry of the glaciogenic late Proterozoic Rapitan Iron-Formation in Canada. Economic Geology, 88(3), 542–565.https://doi.org/10.2113/gsecongeo.88.3.542",669,"Klein & Beukes, 1993","Klein, C. & Beukes, N.J. (1993). Sedimentology and geochemistry of the glaciogenic late Proterozoic Rapitan Iron-Formation in Canada. Economic Geology, 88, 542-565. https://doi.org/10.2113/gsecongeo.88.3.542",10.2113/gsecongeo.88.3.542,http://pubs.geoscienceworld.org/economicgeology/article/88/3/542/21138/Sedimentology-and-geochemistry-of-the-glaciogenic,TRUE,,,Added samplename as borehole + height (in ft). Added sample height in meters.
"Lazar, Ovidiu Remus. ""Redefinition of the New Albany Shale of the Illinois Basin: An Integrated, Stratigraphic, Sedimentologic, and Geochemical Study."" Indiana University, 2007.",790,"Lazar, 2007","Lazar, O.R. (2007). Redefinition of the New Albany Shale of the Illinois Basin: An Integrated, Stratigraphic, Sedimentologic, and Geochemical Study. [Doctoral thesis, Indiana University]",,,,,,
"Legg, Joel Arthur. Assessment of the Petroleum Generation Potential of the Neal Shale in the Black Warrior Basin, Alabama. 2014.",762,"Legg, 2014","Legg, J.A. (2014). Assessment of the petroleum generation potential of the Neal Shale in the Black Warrior Basin, Alabama. [Doctoral thesis, University of Alabama]",,,TRUE,,,Added samplename as sitename and depth (in ft from table).
"Lev, S. M. (1998). Integrated Petrographic and Geochemical Characterization of Rare Earth Element and Uranium Mobility in Llandeilo-Caradoc Formation Black Shales, Wales, U.K.",793,"Lev, 1998","Lev, S.M. (1998). Integrated petrographic and geochemical characterization of rare earth element and uranium mobility in Llandeilo-Caradoc Formation black shales, Wales, U.K.. [Doctoral thesis, State University of New York at Stony Brook]",,,TRUE,TRUE,,Added sample numbers from table. Added new site name (Abereiddi Bay and Traeth Llfyn) based on loc map.
"Lézin, Carine, Bernard Andreu, Pierre Pellenard, Jean-Luc Bouchez, Laurent Emmanuel, Philippe Fauré, and Philippe Landrein. ""Geochemical Disturbance and Paleoenvironmental Changes During the Early Toarcian in Nw Europe."" Chemical Geology 341 (2013): 1-15. https://doi.org/10.1016/j.chemgeo.2013.01.003.",679,Lézin et al. 2013,"Lézin, C., Andreu, B., Pellenard, P., Bouchez, J., Emmanuel, L., Fauré, P. & Landrein, P. (2013). Geochemical disturbance and paleoenvironmental changes during the Early Toarcian in NW Europe. Chemical Geology, 341, 1-15. https://doi.org/10.1016/j.chemgeo.2013.01.003",10.1016/j.chemgeo.2013.01.003,https://linkinghub.elsevier.com/retrieve/pii/S0009254113000314,,,,
"Li, Yanfang, Tongwei Zhang, Geoffrey S Ellis, and Deyong Shao. ""Depositional Environment and Organic Matter Accumulation of Upper Ordovician–Lower Silurian Marine Shale in the Upper Yangtze Platform, South China."" Palaeogeography, Palaeoclimatology, Palaeoecology 466 (2017): 252-64.https://doi.org/10.1016/j.palaeo.2016.11.037",715,Li et al. 2017,"Li, Y., Zhang, T., Ellis, G.S. & Shao, D. (2017). Depositional environment and organic matter accumulation of Upper Ordovician–Lower Silurian marine shale in the Upper Yangtze Platform, South China. Palaeogeography, Palaeoclimatology, Palaeoecology, 466, 252-264. https://doi.org/10.1016/j.palaeo.2016.11.037",10.1016/j.palaeo.2016.11.037,https://linkinghub.elsevier.com/retrieve/pii/S0031018216307751,,,,
"Monaco, S Lo, L López, H Rojas, D Garcia, P Premovic, and H Briceño. ""Distribution of Major and Trace Elements in La Luna Formation, Southwestern Venezuelan Basin."" Organic geochemistry 33, no. 12 (2002): 1593-608.https://doi.org/10.1016/s0146-6380(02)00122-5",728,Lo Mónaco et al. 2002,"Lo Mónaco, S., López, L., Rojas, H., Garcia, D., Premovic, P. & Briceño, H. (2002). Distribution of major and trace elements in La Luna Formation, Southwestern Venezuelan Basin. Organic Geochemistry, 33, 1593-1608. https://doi.org/10.1016/S0146-6380(02)00122-5",10.1016/S0146-6380(02)00122-5,https://linkinghub.elsevier.com/retrieve/pii/S0146638002001225,,,,
"Locklair, Robert Eric. Causes and Consequences of Marine Carbon Burial: Examples from the Cretaceous Niobrara Formation and the Permian Brushy Canyon Formation. Northwestern University, 2007.",792,"Locklair, 2007","Locklair, R.E. (2007). Causes and Consequences of Marine Carbon Burial: Examples from the Cretaceous Niobrara Formation and the Permian Brushy Canyon Formation. [Doctoral thesis, Northwestern University]",,,,,,
"Long, Jie, and Kunli Luo. ""Trace Element Distribution and Enrichment Patterns of Ediacaran-Early Cambrian, Ziyang Selenosis Area, Central China: Constraints for the Origin of Selenium."" Journal of Geochemical Exploration 172 (2017): 211-30. https://doi.org/10.1016/j.gexplo.2016.11.010.",694,"Long & Luo, 2017","Long, J. & Luo, K. (2017). Trace element distribution and enrichment patterns of Ediacaran-early Cambrian, Ziyang selenosis area, Central China: Constraints for the origin of Selenium. Journal of Geochemical Exploration, 172, 211-230. https://doi.org/10.1016/j.gexplo.2016.11.010",10.1016/j.gexplo.2016.11.010,https://linkinghub.elsevier.com/retrieve/pii/S0375674216303107,,,,
"Loukola-Ruskeeniemi, K., & Heino, T. (1996). Geochemistry and genesis of the black shale-hosted Ni-Cu-Zn deposit at Talvivaara, Finland. Economic Geology, 91(1), 80–110.https://doi.org/10.2113/gsecongeo.91.1.80",745,"Loukola-Ruskeeniemi & Heino, 1996","Loukola-Ruskeeniemi, K. & Heino, T. (1996). Geochemistry and genesis of the black shale-hosted Ni-Cu-Zn deposit at Talvivaara, Finland. Economic Geology, 91, 80-110. https://doi.org/10.2113/gsecongeo.91.1.80",10.2113/gsecongeo.91.1.80,http://pubs.geoscienceworld.org/economicgeology/article/91/1/80/21633/Geochemistry-and-genesis-of-the-black-shalehosted,TRUE,TRUE,,"Added sample numbers from published table (note that they are vague and repetetive - added ""(Ni-rich profile)"" to distinguish), and added new site names based on table."
"Luo, Q., Zhong, N., Zhu, L., Wang, Y., Qin, J., Qi, L., et al. (2012). Correlation of burial organic carbon and paleoproductivity in the Mesoproterozoic Hongshuizhuang Formation, northern North China. Chinese Science Bulletin, 58(11), 1299–1309.https://doi.org/10.1007/s11434-012-5534-z",664,Luo et al. 2013,"Luo, Q., Zhong, N., Zhu, L., Wang, Y., Qin, J., Qi, L., Zhang, Y. & Ma, Y. (2013). Correlation of burial organic carbon and paleoproductivity in the Mesoproterozoic Hongshuizhuang Formation, northern North China. Chinese Science Bulletin, 58, 1299-1309. https://doi.org/10.1007/s11434-012-5534-z",10.1007/s11434-012-5534-z,http://link.springer.com/10.1007/s11434-012-5534-z,,,,
"Ma, Kui, Suyun Hu, Tongshan Wang, Baomin Zhang, Shengfei Qin, Shuyuan Shi, Kun Wang, and Huang Qingyu. ""Sedimentary Environments and Mechanisms of Organic Matter Enrichment in the Mesoproterozoic Hongshuizhuang Formation of Northern China."" Palaeogeography, Palaeoclimatology, Palaeoecology 475 (2017): 176-87.https://doi.org/10.1016/j.palaeo.2017.02.038",717,Ma et al. 2017,"Ma, K., Hu, S., Wang, T., Zhang, B., Qin, S., Shi, S., Wang, K. & Qingyu, H. (2017). Sedimentary environments and mechanisms of organic matter enrichment in the Mesoproterozoic Hongshuizhuang Formation of northern China. Palaeogeography, Palaeoclimatology, Palaeoecology, 475, 176-187. https://doi.org/10.1016/j.palaeo.2017.02.038",10.1016/j.palaeo.2017.02.038,https://linkinghub.elsevier.com/retrieve/pii/S0031018216307696,,,,
"Madhavaraju, Jayagopal, Erik Ramírez-Montoya, Rogelio Monreal, Carlos M González-León, Teresa Pi-Puig, Inocente G Espinoza-Maldonado, and Francisco J Grijalva-Noriega. ""Paleoclimate, Paleoweathering and Paleoredox Conditions of Lower Cretaceous Shales from the Mural Limestone, Tuape Section, Northern Sonora, Mexico: Constraints from Clay Mineralogy and Geochemistry."" Revista mexicana de ciencias geológicas 33, no. 1 (2016): 34-48.https://doi.org/10.1016/j.jafrearsci.2022.104670",752,Madhavaraju et al. 2016,"Madhavaraju, J., Ramírez-Montoya, E., Monreal, R., González-León, C.M., Pi-Puig, T., Espinoza-Maldonado, I.G. & Grijalva-Noriega, F.J. (2016). Paleoclimate, paleoweathering and paleoredox conditions of Lower Cretaceous shales from the Mural Limestone, Tuape section, northern Sonora, Mexico: Constraints from clay mineralogy and geochemistry. Revista mexicana de ciencias geológicas, 33, 34-48.",,,,,,
"Marynowski, Leszek, Michał Zatoń, Michał Rakociński, Paweł Filipiak, Slawomir Kurkiewicz, and Tim J. Pearce. ""Deciphering the Upper Famennian Hangenberg Black Shale Depositional Environments Based on Multi-Proxy Record."" Palaeogeography, Palaeoclimatology, Palaeoecology 346-347 (2012): 66-86. https://doi.org/10.1016/j.palaeo.2012.05.020.",705,Marynowski et al. 2012,"Marynowski, L., Zatoń, M., Rakociński, M., Filipiak, P., Kurkiewicz, S. & Pearce, T.J. (2012). Deciphering the upper Famennian Hangenberg Black Shale depositional environments based on multi-proxy record. Palaeogeography, Palaeoclimatology, Palaeoecology, 346-347, 66-86. https://doi.org/10.1016/j.palaeo.2012.05.020",10.1016/j.palaeo.2012.05.020,https://linkinghub.elsevier.com/retrieve/pii/S0031018212002866,,,,
"Matthäi, S. K., & Henley, R. W. (1996). Geochemistry and depositional environment of the gold-mineralized Proterozoic Koolpin Formation, Pine Creek Inlier, Northern Australia: a comparison with modern shale sequences. Precambrian Research, 78(4), 211–235.https://doi.org/10.1016/0301-9268(95)00057-7",671,"Matthäi & Henley, 1996","Matthäi, S.K. & Henley, R.W. (1996). Geochemistry and depositional environment of the gold-mineralized Proterozoic Koolpin Formation, Pine Creek Inlier, Northern Australia: a comparison with modern shale sequences. Precambrian Research, 78, 211-235. https://doi.org/10.1016/0301-9268(95)00057-7",10.1016/0301-9268(95)00057-7,https://linkinghub.elsevier.com/retrieve/pii/0301926895000577,TRUE,TRUE,TRUE,"Added samplenames from table and used region for sitename (Cosmo Howley), assumed site was outcrop (open pits). Changed rock type from siliciclastic to carbonaceous slate based on table."
"Meinhold, G., Whitham, A. G., Howard, J. P., Stewart, J. C., Abutarruma, Y., & Thusu, B. (2013). Hydrocarbon source rock potential of latest Ordovician – earliest Silurian Tanezzuft Formation shales from the Eastern Kufra Basin, SE Libya. Journal of Petroleum Geology, 36(2), 105–115.https://doi.org/10.1111/jpg.12546",737,Meinhold et al. 2013,"Meinhold, G., Whitham, A.G., Howard, J.P., Stewart, J.C., Abutarruma, Y. & Thusu, B. (2013). Hydrocarbon source rock potential of latest Ordovician - earliest Silurian Tanezzuft Formation shales from the Eastern Kufra Basin, SE Libya. Journal of Petroleum Geology, 36, 105-115. https://doi.org/10.1111/jpg.12546",10.1111/jpg.12546,https://onlinelibrary.wiley.com/doi/10.1111/jpg.12546,,,,
"Melchin, M. J., C. E. Mitchell, C. Holmden, and P. Storch. ""Environmental Changes in the Late Ordovician-Early Silurian: Review and New Insights from Black Shales and Nitrogen Isotopes."" Geological Society of America Bulletin 125, no. 11-12 (2013): 1635-70. https://doi.org/10.1130/b30812.1.",739,Melchin et al. 2013,"Melchin, M.J., Mitchell, C.E., Holmden, C. & Storch, P. (2013). Environmental changes in the Late Ordovician-early Silurian: Review and new insights from black shales and nitrogen isotopes. Geological Society of America Bulletin, 125, 1635-1670. https://doi.org/10.1130/B30812.1",10.1130/B30812.1,https://pubs.geoscienceworld.org/gsabulletin/article/125/11-12/1635-1670/125852,TRUE,,,Added samplename as sitename (abbreviated) + height
"Melezhik, V. A., Fallick, A. E., Filippov, M. M., & Larsen, O. (1999). Karelian shungite—an indication of 2.0-Ga-old metamorphosed oil-shale and generation of petroleum: geology, lithology and geochemistry. Earth Science Reviews, 47(1-2), 1–40.https://doi.org/10.1016/s0012-8252(99)00027-6",726,Melezhik et al. 1999,"Melezhik, V.A., Fallick, A.E., Filippov, M.M. & Larsen, O. (1999). Karelian shungite—an indication of 2.0-Ga-old metamorphosed oil-shale and generation of petroleum: geology, lithology and geochemistry. Earth-Science Reviews, 47, 1-40. https://doi.org/10.1016/S0012-8252(99)00027-6",10.1016/S0012-8252(99)00027-6,https://linkinghub.elsevier.com/retrieve/pii/S0012825299000276,TRUE,TRUE,,"Added samplenames from table, used first part of region for sitename, note lith could prob be coded"
"Mongenot, T., Tribovillard, N., Desprairies, A., Lallier-Vergès, E., & Laggoun-Defarge, F. (1996). Trace elements as palaeoenvironmental markers in strongly mature hydrocarbon source rocks: the Cretaceous La Luna Formation of Venezuela. Sedimentary Geology, 103, 23–37.https://doi.org/10.1016/0037-0738(95)00078-x",670,Mongenot et al. 1996,"Mongenot, T., Tribovillard, N., Desprairies, A., Lallier-Vergès, E. & Laggoun-Defarge, F. (1996). Trace elements as palaeoenvironmental markers in strongly mature hydrocarbon source rocks: the Cretaceous La Luna Formation of Venezuela. Sedimentary Geology, 103, 23-37. https://doi.org/10.1016/0037-0738(95)00078-X",10.1016/0037-0738(95)00078-X,https://linkinghub.elsevier.com/retrieve/pii/003707389500078X,,,,
"Montero-Serrano, Jean-Carlos, Karl B. Föllmi, Thierry Adatte, Jorge E. Spangenberg, Nicolas Tribovillard, Alicia Fantasia, and Guillaume Suan. ""Continental Weathering and Redox Conditions During the Early Toarcian Oceanic Anoxic Event in the Northwestern Tethys: Insight from the Posidonia Shale Section in the Swiss Jura Mountains."" Palaeogeography, Palaeoclimatology, Palaeoecology 429 (2015): 83-99. https://doi.org/10.1016/j.palaeo.2015.03.043.",708,Montero-Serrano et al. 2015,"Montero-Serrano, J., Föllmi, K.B., Adatte, T., Spangenberg, J.E., Tribovillard, N., Fantasia, A. & Suan, G. (2015). Continental weathering and redox conditions during the early Toarcian Oceanic Anoxic Event in the northwestern Tethys: Insight from the Posidonia Shale section in the Swiss Jura Mountains. Palaeogeography, Palaeoclimatology, Palaeoecology, 429, 83-99. https://doi.org/10.1016/j.palaeo.2015.03.043",10.1016/j.palaeo.2015.03.043,https://linkinghub.elsevier.com/retrieve/pii/S0031018215001832,,TRUE,,Update lat-long based on paper (lat-long was in wrong country)
"Nance, W. B., & Taylor, S. R. (1977). Rare earth element patterns and crustal evolution—II. Archean sedimentary rocks from Kalgoorlie, Australia. Geochimica et Cosmochimica Acta, 41(2), 225–231.https://doi.org/10.1016/0016-7037(77)90229-0",667,"Nance & Taylor, 1977","Nance, W.B. & Taylor, S.R. (1977). Rare earth element patterns and crustal evolution—II. Archean sedimentary rocks from Kalgoorlie, Australia. Geochimica et Cosmochimica Acta, 41, 225-231. https://doi.org/10.1016/0016-7037(77)90229-0",10.1016/0016-7037(77)90229-0,https://linkinghub.elsevier.com/retrieve/pii/0016703777902290,TRUE,TRUE,TRUE,"Named sites and samples with the same name, as it appears just one sample per site. Site details give precise locs, not reflected in lat-longs, updated sed types based on table (they incl. only the shales)"
"Newport, Leo P., Andrew C. Aplin, Jon G. Gluyas, H. Chris Greenwell, and Darren R. Gröcke. 2016. ""Geochemical and lithological controls on a potential shale reservoir: Carboniferous Holywell Shale, Wales"", Marine and Petroleum Geology, 71: 198-210.https://doi.org/10.1016/j.marpetgeo.2015.11.026",703,Newport et al. 2016,"Newport, L.P., Aplin, A.C., Gluyas, J.G., Greenwell, H.C. & Gröcke, D.R. (2016). Geochemical and lithological controls on a potential shale reservoir: Carboniferous Holywell Shale, Wales. Marine and Petroleum Geology, 71, 198-210. https://doi.org/10.1016/j.marpetgeo.2015.11.026",10.1016/j.marpetgeo.2015.11.026,https://linkinghub.elsevier.com/retrieve/pii/S0264817215301483,,TRUE,,
"NEWPORT, LEO. ""Petrographic and Geochemical Analysis of the Carboniferous (Namurian) Holywell Shale of Northeast Wales."" Durham University, 2016.",774,"Newport, 2016","Newport, L.P. (2016). Petrographic and Geochemical Analysis of the Carboniferous (Namurian) Holywell Shale of Northeast Wales. [Doctoral thesis, Durham University] http://etheses.dur.ac.uk/11467/",,http://etheses.dur.ac.uk/11467/,TRUE,,,Added samplename as sitename + height
